titre,numéro,mots_clefs,catégorie
"Lancé, plaqué... touché!",15/10/2001,"Énergie mécanique
Balles et ballons
Football -- Physique",
Des OGM pour se soigner,15/10/2001,"Organismes génétiquement modifiés -- Emploi en thérapeutique
Plantes transgéniques -- Emploi en thérapeutique
Génie génétique animal
Génie génétique végétal",
On va ramper sur Mars!,15/10/2001,"Sondes spatiales -- États-Unis
Mars Odyssey (Sonde spatiale)
Robots d'exploration
Sondes spatiales -- Europe
ANAT Walker (Robot)
Mars (Planète) -- Exploration",
Une affaire de famille!,15/10/2001,"Éthique médicale
Procréation médicalement assistée -- Aspect moral
Grossesse chez les femmes ménopausées
Procréation médicalement assistée -- Droit -- France",
Internet,15/10/2001,"Réseaux à grande distance (Informatique) -- Histoire
Internet -- Histoire
Fournisseurs de services applicatifs
Logiciels en ligne",
La redécouverte du patrimoine industriel,15/10/2001,"Pain -- Québec (Province) -- Histoire
Boulangeries -- Québec (Province) -- Histoire
Mécanisation agricole -- Québec (Province) -- Histoire",
Un SOS pour les grands singes,15/10/2001,"Sicotte, Pascale
Grands singes -- Protection -- Rwanda",
La dernière chance des animaux?,15/10/2001,"Fécondation in vitro (Médecine vétérinaire)
Reproduction animale assistée, Techniques de
Espèces en danger -- Reproduction
Génie génétique animal
Clonage
Banques de sperme",
La guerre des consoles,15/10/2001,"Consoles de jeux vidéo
Microsoft Xbox (Console de jeux vidéo)
Nintendo GameCube (Console de jeux vidéo)",
Les sentinelles de la mer,15/10/2001,"Neptune Canada (Laboratoire sous-marin)
Exploration sous-marine -- Colombie-Britannique
Fibres optiques
Océanographie -- Recherche
Stations de recherche océanographique -- Canada
Tectonique -- Recherche",
A quoi pensent les animaux?,15/07/2002,"Hauser, Marc
Animaux -- Psychologie",
L'univers en 8 questions,15/07/2002,"Cosmologie
Univers",
"Et maintenant, les insectes terminators",15/07/2002,"Génie génétique animal
Mites (Papillons)
Insectes (Agents de lutte biologique)
Ver rose du cotonnier
Ennemis des cultures, Lutte biologique contre les",
Balade dans le jardin,15/07/2002,"Graminées -- Physiologie
Pelouses
Plantes -- Physiologie
Plantes -- Irritabilité et mouvements",
SOS lacs et rivières,15/07/2002,"Pollution de l'eau -- Québec (Province)
Lacs -- Québec (Province)
Cours d'eau -- Québec (Province)",
La redécouverte du patrimoine industriel,15/07/2002,"Industrie laitière -- Québec (Province) -- Histoire
Produits laitiers -- Traitement",
Mystère et foudre en boule,15/07/2002,Foudre en boule,
Pour les jours de pluie,15/07/2002,"Jeux sur Internet
Loisirs -- Ressources Internet -- Répertoires",
L'arbre sauveur?,15/07/2002,"Peuplier -- Culture -- Québec (Province)
Arbres à croissance rapide -- Culture -- Québec (Province)",
"Jean-René Dufort, biochimiste et défroqué",15/09/2001,"Dufort, Jean-René
Journalistes -- Québec (Province)",
La redécouverte du patrimoine industriel,15/09/2001,"Bell, Alexander Graham
Téléphone -- Histoire
Son -- Enregistrement et reproduction -- Histoire
Téléphone -- Appareils et matériel -- Histoire",
A l'école du Web,15/09/2001,"Internet en éducation
Éducation -- Ressources Internet
Enseignement à distance -- Québec (Province)",
Vikings,15/09/2001,"Normands
Vikings
Groenland -- Découverte et exploration
Amérique -- Découverte et exploration nordiques",
Le grand tour des planètes,15/09/2001,"Galileo (Sonde spatiale)
Jupiter (Planète)
Jupiter (Planète) -- Satellites",
Pourquoi ça marche,15/09/2001,"Anesthésie par hypnose
Hypnose -- Aspect physiologique
Hypnose
Hypnothérapie
Douleur -- Traitement",
Le clonage,15/09/2001,"Reproduction humaine
Clonage humain
Reproduction animale",
La botanique de l'extrême,15/09/2001,Lichens,
L'attirail de la rentrée,15/09/2001,"Craies (Crayons)
Tableaux noirs
Crayons",
Coulés dans le béton,15/09/2001,"Canots de béton -- Conception et construction
Béton -- Recherche",
Les raisons du décrochage,15/09/2001,"Abandon scolaire -- Québec (Province) -- Saguenay-Lac-Saint-Jean -- Enquêtes
Décrocheurs scolaires -- Québec (Province) -- Saguenay-Lac-Saint-Jean -- Enquêtes
Abandon scolaire (Enseignement secondaire) -- Facteurs de risque",
Un tour du Québec inusité,15/06/2001,"Tourisme d'aventure -- Québec (Province)
Sciences naturelles -- Musées -- Québec (Province) -- Répertoires
Technologie -- Musées -- Québec (Province) -- Répertoires
Sciences -- Musées -- Québec (Province) -- Répertoires
Québec (Province) -- Descriptions et voyages",
Chiros,15/06/2001,"Ordre des chiropraticiens du Québec
Thérapies manuelles -- Droit -- Canada
Chiropratique
Physiothérapie
Thérapies manuelles",
"Le bio? Vite, dans ma cour!",15/06/2001,"Jardinage biologique
Herbicides
Pesticides",
Haro sur les OGM,15/06/2001,"Séralini, Gilles-Éric
Plantes transgéniques
Génie génétique végétal -- Aspect de l'environnement
Aliments transgéniques
Biotechnologie agricole -- Industrie",
Mines numériques,15/06/2001,Exploration de données (Informatique),
La guerre des boutons,15/06/2001,"Fermetures à glissière
Velcro
Laçage
Boutons-pression",
La redécouverte du patrimoine industriel,15/06/2001,"Aéronautique -- Québec (Province)
Transports aériens -- Québec (Province) -- Histoire
Industrie aéronautique -- Québec (Province) -- Histoire",
Compte rendu du livre Les quatre antilopes de l'apocalypse : réflexions sur l'histoire naturelle  de S. J. Gould ,15/06/2001,"Gould, Stephen Jay. Quatre antilopes de l'apocalypse : réflexions sur l'histoire naturelle",
Le ciel en tête,15/06/2001,"CAE Electronique (Firme)
Airbus (Firme)
Boeing (Firme)
Pratt & Whitney (Firme)
Bombardier (Firme)
Industrie aéronautique
Industrie aéronautique -- Québec (Province)
Aéronautique -- Recherche -- Québec (Province)
Avions -- Turboréacteurs
Simulateurs de vol",
L'ADN,15/06/2001,"First Genetic Trust (Firme)
Génétique médicale -- Recherche
Génétique médicale -- Aspect moral
Industrie pharmaceutique
Banques de gènes humains",
Le grand tour des planètes,15/06/2001,"Planètes -- Origines
Système solaire -- Origines",
Les envahisseurs,15/06/2001,"Invasions biologiques -- Québec (Province)
Animaux et plantes nuisibles -- Introduction -- Québec (Province)",
La double révolution,15/05/2001,"Génome humain -- Séquençage
Génétique
Génétique médicale",
Le mandarin de la culture,15/05/2001,"Arpin, Roland
Patrimoine industriel -- Protection -- Québec (Province)
Patrimoine culturel -- Québec (Province)",
La redécouverte du patrimoine industriel,15/05/2001,"Transports maritimes -- Québec (Province) -- Histoire
Construction navale -- Québec (Province) -- Histoire
Saint-Laurent (Fleuve) -- Navigation -- Histoire",
Matière de transparence...,15/05/2001,Verre,
L'appel de la toundra,15/05/2001,"Rousseau, Jacques
Couture, Pierre. Jacques Rousseau : la science des livres et des voyages
Laverdière, Camille. Jacques Rousseau : la science des livres et des voyages
Botanistes -- Québec (Province) -- Biographies",
La bataille OGM-BIO,15/05/2001,"Aliments transgéniques -- Etiquetage -- Canada
Médicaments vétérinaires -- Résidus dans les aliments
Opinion publique -- Québec (Province)
Antibiotiques en médecine vétérinaire
Agriculture productiviste -- France
Aliments -- Salubrité
Aliments -- Salubrité -- Opinion publique
Aliments -- Inspection -- Québec (Province)
Agriculture productiviste -- Grande-Bretagne
Industrie agro-alimentaire
Risques pour la santé
Hormones de croissance -- Résidus dans les aliments",
L'oeil du Web,15/05/2001,"LookThatUp (Firme)
Traitement d'images -- Logiciels",
Le sexe ça peut être ambigu,15/05/2001,"Sexe -- Détermination -- Facteurs génétiques
Aberrations chromosomiques
Chromosomes sexuels",
Une effervescence tous Azimut,15/04/2001,Biotechnologie agricole,
La course au capital,15/04/2001,"Biotechnologie -- Industrie -- Québec (Province)
Emplois -- Biotechnologie -- Québec (Province)",
Les promesses du génome humain,15/04/2001,"Génome humain -- Séquençage
Génétique médicale -- Recherche -- Québec (Province)
Médecine -- Recherche",
A la recherche du mieux-être,15/04/2001,"Biotechnologie agricole -- Recherche -- Québec (Province)
Nutraceutiques -- Recherche -- Québec (Province)",
Les sciences de la vie,15/04/2001,"Génie génétique -- Recherche
Biotechnologie",
Le second souffle,15/04/2001,Biotechnologie environnementale -- Québec (Province),
Les frontières tombent,15/04/2001,Biotechnologie -- Recherche,
Le débat public est lancé,15/04/2001,"Biotechnologie -- Aspect moral
Génie génétique -- Aspect moral",
Comment l'homme s'est mis à parler,15/04/2001,"Français (Langue) -- Histoire
Langage et langues -- Origines",
Cap aux diamants,15/04/2001,"Diamants (2001 : Québec, Québec)
Diamants -- Expositions",
Les VIP du Net,15/04/2001,Personnages de jeux vidéo,
"Gaspésie, enfin, la relance?",15/04/2001,"Hortus (Projet)
Pêches -- Québec (Province) -- Gaspésie
Aquaculture -- Québec (Province) -- Gaspésie
Chitine
Ressources halieutiques -- Québec (Province) -- Gaspésie
Biodiversité -- Conservation -- Québec (Province) -- Cascapédia, Région de la baie de
Récifs artificiels",
"Norman Molhant, ingénieur de l'imagination",15/04/2001,"Molhant, Norman
Conseillers scientifiques -- Québec (Province)
Littérature de science-fiction -- Thèmes, motifs",
En grandes pompes,15/04/2001,Pompes,
"ANDi, le singe fluo",15/04/2001,"Singes (Animaux de laboratoire)
Animaux transgéniques
Génie génétique animal -- Aspect moral
Singes -- Génie génétique",
Portés disparus,15/04/2001,Caribous -- Populations -- Québec (Province),
La redécouverte du patrimoine industriel,15/04/2001,"Acier -- Industrie et commerce -- Québec (Province) -- Histoire
Forges -- Québec (Province) -- Histoire",
La santé des enfants,15/03/2001,"Tout-petits (Enfants) -- Psychologie
Enfants -- Soins et hygiène
Enfants -- Maladies
Psychomotricité chez l'enfant",
Sans fil et sans risques?,15/03/2001,"Téléphone cellulaire -- Aspect de la santé
Micro-ondes -- Effets physiologiques
Radiofréquences -- Exposition
Radiofréquences -- Effets physiologiques",
L'indispensable éthique,15/03/2001,"Morin, Edgar
Sciences -- Aspect moral",
Vive l'arabette des dames,15/03/2001,"Génome végétal -- Séquençage
Arabette des dames -- Génétique",
Au-delà de l'Univers?,15/03/2001,"Univers inflatoire
Big bang
Cosmologie
Univers -- Origines",
L'homme du millénaire,15/03/2001,"Homme fossile -- Kenya
Hominidés
Fouilles (Archéologie) -- Kenya",
Plus dur que le marbre!,15/03/2001,"Dents -- Soins et hygiène
Dents -- Carie -- Prévention
Dents",
"La Terre se réchauffe, le ciel a un coup de froid",15/03/2001,"Gaz à effet de serre
Tourbillon circumpolaire
Ozone atmosphérique -- Réduction",
Compte rendu du film Le lien cosmique  de C. Fol ,15/03/2001,"Fol, Catherine
Lien cosmique (Film : Québec)
Films documentaires québécois -- Comptes rendus",
La redécouverte du patrimoine industriel,15/03/2001,"Bière -- Industrie et commerce -- Québec (Province) -- Histoire
Brassage (Bière)",
Des millions de microchercheurs!,15/03/2001,"SETI (Programme)
Traitement réparti
Communications interstellaires -- Recherche",
La météo,15/03/2001,"Centre météorologique canadien
Climatologie -- Modèles mathématiques
Temps (Météorologie) -- Prévision numérique",
Du feu dans la cheminée,15/02/2001,"Feu
Combustion",
Terre de glace,15/02/2001,"Évolution (Biologie)
Micro-organismes -- Evolution
Epoque glaciaire",
Les 10 découvertes de l'année,15/02/2001,Découvertes scientifiques -- Québec (Province),
Au bonheur des bogues,15/02/2001,"Erreurs de programmation
Débogage",
Grippe,15/02/2001,"Virus de la grippe
Grippe -- Epidémies
Vaccins contre la grippe
Grippe, Lutte contre la",
Une toile sans fil,15/02/2001,"Téléphone cellulaire
Internet mobile",
Le sang des Nuu-chah-nulth,15/02/2001,"Ward, Ryk
Génétique humaine -- Recherche
Génétique humaine -- Aspect moral
Consentement au traitement -- Droit
Consentement éclairé (Droit médical)",
"Tom Hudson, personnalité scientifique 2000",15/02/2001,"Hudson, Thomas
Génome humain -- Séquençage
Génomique -- Recherche
Génétique humaine -- Recherche",
Etudes,15/12/2000,"Sciences -- Étude et enseignement -- Québec (Province)
Étudiants universitaires -- Motivation
Emplois -- Sciences -- Québec (Province)
Orientation scolaire -- Québec (Province)
Succès scolaire
Étudiants du collégial -- Motivation",
Supertélescopes pour superastronomes,15/12/2000,"Observatoire européen austral
VLT (Télescope géant)
Télescopes géants -- Chili
Observatoires astronomiques -- Chili",
La guerre du calcium,15/12/2000,"Physicians Committee for Responsible Medecine (Organisme : Etats-Unis)
Produits laitiers -- Aspect de la santé
Maladies -- Aspect nutritionnel",
Gutenberg 2.0,15/12/2000,Livres numériques,
"Cette fois, c'est vrai",15/12/2000,"21e siècle -- Histoire
Calendrier
Année bissextile
Temps -- Mesure -- Histoire",
L'affaire du lapin fluo,15/12/2000,"Kac, Eduardo
Houdebine, Louis-Marie
Institut national de la recherche agronomique (France)
Artistes -- Brésil
Animaux transgéniques dans l'art
Bio-art
Lapins (Animaux de laboratoire)",
L'abominable moto des neiges,15/12/2000,"Motoneiges -- Aspect de la santé
Motoneiges -- Conception et construction
Motoneiges -- Aspect de l'environnement",
Les origines du pouvoir,15/12/2000,"Leadership
Pouvoir (Sciences sociales)
Contrôle (Psychologie)",
Nez rouge et gueule de bois,15/12/2000,"Alcool -- Effets physiologiques
Gueule de bois -- Prévention",
Mon bon sapin,15/12/2000,"Smirnoff, Wladimir
Sapin baumier
Composés organiques volatils
Huiles essentielles",
Le mystère zêta,15/12/2000,"Fonctions zêta
Riemann, Hypothèse de
Matrices aléatoires",
Merveilleux pédagogue,15/12/2000,"Fortin, Yvon
Collège François-Xavier-Garneau (Québec, Québec). Centre de démonstration en sciences physiques
Professeurs de physique -- Québec (Province)
Enseignants du collégial -- Québec (Province)
Sciences -- Étude et enseignement (Collégial) -- Québec (Province)",
Virus informatiques,15/11/2000,"Virus informatiques
Sécurité informatique
Pirates informatiques",
L'empire des sens,15/11/2000,"Périphériques (Informatique)
Réalité virtuelle",
